Cities,Cause_category,Cause_Subcategory,Outcome_of_incident,Count,Age
Chandigarh,Traffic Control,Others,Minor Injury,61,82
Chandigarh,Traffic Control,Others,Persons Killed,25,58
Chandigarh,Traffic Control,Others,Total Injured,69,58
Chandigarh,Traffic Control,Others,Total number of Accidents,77,80
Chandigarh,Traffic Control,Police Controlled,Greviously Injured,0,23
Chandigarh,Traffic Control,Police Controlled,Minor Injury,0,42
Chandigarh,Traffic Control,Police Controlled,Persons Killed,1,73
Chandigarh,Traffic Control,Police Controlled,Total Injured,0,75
Chandigarh,Traffic Control,Police Controlled,Total number of Accidents,1,73
Chandigarh,Traffic Control,Stop Sign,Greviously Injured,0,76
Chandigarh,Traffic Control,Stop Sign,Minor Injury,0,48
Chandigarh,Traffic Control,Stop Sign,Persons Killed,0,28
Chandigarh,Traffic Control,Stop Sign,Total Injured,0,45
Chandigarh,Traffic Control,Stop Sign,Total number of Accidents,0,50
Chandigarh,Traffic Control,Traffic Light Signal,Greviously Injured,0,35
Chandigarh,Traffic Control,Traffic Light Signal,Minor Injury,43,87
Chandigarh,Traffic Control,Traffic Light Signal,Persons Killed,17,14
Chandigarh,Traffic Control,Traffic Light Signal,Total Injured,43,78
Chandigarh,Traffic Control,Traffic Light Signal,Total number of Accidents,49,57
Chandigarh,Traffic Control,Uncontrolled,Greviously Injured,2,17
Chandigarh,Traffic Control,Uncontrolled,Minor Injury,15,19
Chandigarh,Traffic Control,Uncontrolled,Persons Killed,5,38
Chandigarh,Traffic Control,Uncontrolled,Total Injured,17,75
Chandigarh,Traffic Control,Uncontrolled,Total number of Accidents,17,87
Chennai,Traffic Control,Flashing Signal/Blinker,Greviously Injured,198,16
Chennai,Traffic Control,Flashing Signal/Blinker,Minor Injury,525,26
Chennai,Traffic Control,Flashing Signal/Blinker,Persons Killed,212,51
Chennai,Traffic Control,Flashing Signal/Blinker,Total Injured,723,37
Chennai,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,776,20
Chennai,Traffic Control,Others,Greviously Injured,369,42
Chennai,Traffic Control,Others,Minor Injury,1214,36
Chennai,Traffic Control,Others,Persons Killed,276,23
Chennai,Traffic Control,Others,Total Injured,1583,45
Chennai,Traffic Control,Others,Total number of Accidents,1598,42
Chennai,Traffic Control,Police Controlled,Greviously Injured,78,76
Chennai,Traffic Control,Police Controlled,Minor Injury,445,83
Chennai,Traffic Control,Police Controlled,Persons Killed,110,62
Chennai,Traffic Control,Police Controlled,Total Injured,523,52
Chennai,Traffic Control,Police Controlled,Total number of Accidents,501,34
Chennai,Traffic Control,Stop Sign,Greviously Injured,88,72
Chennai,Traffic Control,Stop Sign,Minor Injury,234,66
Chennai,Traffic Control,Stop Sign,Persons Killed,81,20
Chennai,Traffic Control,Stop Sign,Total Injured,322,45
Chennai,Traffic Control,Stop Sign,Total number of Accidents,384,87
Chennai,Traffic Control,Traffic Light Signal,Greviously Injured,89,82
Chennai,Traffic Control,Traffic Light Signal,Minor Injury,389,24
Chennai,Traffic Control,Traffic Light Signal,Persons Killed,65,38
Chennai,Traffic Control,Traffic Light Signal,Total Injured,478,72
Chennai,Traffic Control,Traffic Light Signal,Total number of Accidents,433,23
Chennai,Traffic Control,Uncontrolled,Greviously Injured,119,38
Chennai,Traffic Control,Uncontrolled,Minor Injury,515,43
Chennai,Traffic Control,Uncontrolled,Persons Killed,128,73
Chennai,Traffic Control,Uncontrolled,Total Injured,634,79
Chennai,Traffic Control,Uncontrolled,Total number of Accidents,697,40
Coimbatore,Traffic Control,Flashing Signal/Blinker,Greviously Injured,11,60
Coimbatore,Traffic Control,Flashing Signal/Blinker,Minor Injury,16,79
Coimbatore,Traffic Control,Flashing Signal/Blinker,Persons Killed,2,49
Coimbatore,Traffic Control,Flashing Signal/Blinker,Total Injured,27,85
Coimbatore,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,25,43
Coimbatore,Traffic Control,Others,Greviously Injured,267,27
Coimbatore,Traffic Control,Others,Minor Injury,244,57
Coimbatore,Traffic Control,Others,Persons Killed,54,77
Coimbatore,Traffic Control,Others,Total Injured,511,55
Coimbatore,Traffic Control,Others,Total number of Accidents,500,42
Coimbatore,Traffic Control,Police Controlled,Greviously Injured,0,19
Coimbatore,Traffic Control,Police Controlled,Minor Injury,6,43
Coimbatore,Traffic Control,Police Controlled,Persons Killed,0,53
Coimbatore,Traffic Control,Police Controlled,Total Injured,6,58
Coimbatore,Traffic Control,Police Controlled,Total number of Accidents,8,87
Coimbatore,Traffic Control,Stop Sign,Greviously Injured,0,62
Coimbatore,Traffic Control,Stop Sign,Minor Injury,0,19
Coimbatore,Traffic Control,Stop Sign,Persons Killed,0,45
Coimbatore,Traffic Control,Stop Sign,Total Injured,0,74
Coimbatore,Traffic Control,Stop Sign,Total number of Accidents,0,76
Coimbatore,Traffic Control,Traffic Light Signal,Greviously Injured,11,17
Coimbatore,Traffic Control,Traffic Light Signal,Minor Injury,25,79
Coimbatore,Traffic Control,Traffic Light Signal,Persons Killed,3,55
Coimbatore,Traffic Control,Traffic Light Signal,Total Injured,36,62
Coimbatore,Traffic Control,Traffic Light Signal,Total number of Accidents,40,85
Coimbatore,Traffic Control,Uncontrolled,Greviously Injured,58,31
Coimbatore,Traffic Control,Uncontrolled,Minor Injury,84,15
Coimbatore,Traffic Control,Uncontrolled,Persons Killed,6,24
Coimbatore,Traffic Control,Uncontrolled,Total Injured,142,36
Coimbatore,Traffic Control,Uncontrolled,Total number of Accidents,134,19
Delhi,Traffic Control,Flashing Signal/Blinker,Greviously Injured,6,15
Delhi,Traffic Control,Flashing Signal/Blinker,Minor Injury,134,83
Delhi,Traffic Control,Flashing Signal/Blinker,Persons Killed,49,53
Delhi,Traffic Control,Flashing Signal/Blinker,Total Injured,140,77
Delhi,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,171,58
Delhi,Traffic Control,Others,Greviously Injured,109,52
Delhi,Traffic Control,Others,Minor Injury,2180,58
Delhi,Traffic Control,Others,Persons Killed,686,75
